,Store,Location,Product,Price
0,Shoozay,Jakarta Selatan,ACER SWIFT SF314 41 ATHLON 300U 8GB RAM 512GB SSD FHD BACKLIT VEGA 3 M,Rp3.450.000
1,Notebook_ID,Tasikmalaya,Laptop Acer Asoire Swift SF314-41 Mulus,Rp3.500.000
2,Ys Computers,Kab. Tanjung Jabung Barat,laptop acer swift 3 sangat slim core i5 generasi 7 warna silver,Rp3.500.000
3,mikamadu,Kab. Bekasi,Laptop Acer Swift AmdAthlon 300u Ram 8gb Ssd 512gb VGA 2gb Bisa Gaming,Rp3.550.000
4,ASALADA_TEKNO,Depok,"LAPTOP ACER SWIFT 3, AMD ATHLON 300U WITH RADEON, RAM 4GB, HDD 500GB",Rp3.600.000
5,danish smile,Jakarta Utara,Acer swift 3 A311 notebook,Rp3.800.000
6,Andruw Laptop,Kab. Kediri,Acer Swift SF114-33 Pentium N5030,Rp3.900.000
7,UMS Computer Solo,Kab. Sukoharjo,ACER SWIFT Intel Core i3 Gen 7 RAM 8GB SSD 256GB HDD 500GB,Rp3.950.000
8,Pandu aq,Jambi,Ultrabook Acer Swift 3 SF314 AMD Athlon 300U Radeon Fullset,Rp3.956.000
9,ilyas computer,Jakarta Barat,LAPT0P MURAH ACER SWIFT SF314-54G COREi3 GEN7 2VGA RAM 8GB HD 1TB-IC,Rp3.980.000
10,ThomsStore,Cimahi,acer swift 3 sf314 41 amd athlon,Rp4.000.000
11,Bisnis Laptop,Jakarta Selatan,Laptop Design Acer Swift Athlon 300U SSD512 VGA Radeon Backlight Mulus,Rp4.000.000
12,iansyahofficial,Jakarta Barat,Acer Swift 3,Rp4.000.000
13,Qphone,Surabaya,Laptop Acer swift 1 N20H2 4gb ssd 512gb 14inc,Rp4.000.000
14,CS COMP SHOP,Batam,acer swift 1 sf114 Celeron n4500,Rp4.000.000
15,TOP INDOJAYA,Jakarta Pusat,Motherboard Acer Swift 3 SF314-54 SF314-54G Core i3 Gen7 4GB,Rp4.014.000
16,Rasta Jaya Abadi,Bandung,Motherboard Acer Swift 3 SF314-54 SF314-54G Core i3 Gen7 4GB,Rp4.014.000
17,jessami,Kab. Pandeglang,Dijual Led acer swift 3 sf314 series Limited,Rp4.066.000
18,veza_laptop_store,Jakarta Selatan,ACER SWIFT SF314-41 AMD ATHLON 300U 8GB RAM 512GB SSD,Rp4.150.000
19,java solution computer,Malang,Acer Swift 3 sf314-14 AMD Athlon 300U Ram 4gb Ssd 512gb Scu6855,Rp4.150.000
20,Loka Jaya Komputer,Kab. Cianjur,Laptop acer swift sf114 pentium silver N6000 ssd 512gb pcIe,Rp4.150.000
21,LQA Store,Bandung,Acer Swift 3 SF314-54G SF314 54G i3 7020U 4GB Nvidia MX150 2Gb 1TB,Rp4.200.000
22,StreetsJakarta,Jakarta Selatan,Acer Swift Athlon 300U c191222,Rp4.200.000
23,ASALADA_TEKNO,Depok,"ACER SWIFT 3, AMD 300U, RAM 4GB, SSD 256GB SECOND MULUS NO MINUS",Rp4.200.000
24,ahli waris,Jakarta Selatan,Laptop acer swift,Rp4.200.000
25,Hardjan Store,Surakarta,Laptop Acer Swift SF314 - 51 ( White ) Second mulus - LIKE NEW,Rp4.250.000
26,solo elektronik murah,Surakarta,"Acer Swift 3 Core i5 gen 7 RAM 4GB SSD 128GB Layar 14"" slim mulus",Rp4.250.000
27,Megacom Skt,Surakarta,"Acer Swift 3 SF314 51 Core I5-7200U Ram 4Gb Ssd 128Gb 14"" | LIKE NEW",Rp4.250.000
28,LIEM_COM,Surakarta,Laptop Acer Swift 3 SF314-51 Core i5 Ram 4GB/128GB SSD 14 inch,Rp4.250.000
29,Hardjan Group,Surakarta,Laptop Acer Swift SF314 - 51 ( Silver ),Rp4.250.000
30,solo elektronik murah,Surakarta,"Acer Swift Core i5 gen 7 RAM 4GB SSD 128GB 13.3"" Slim Mulus No Minus",Rp4.250.000
31,ThinkpadPD,Jakarta Timur,Ultrabook Acer Swift 3 SF314 AMD Athlon 300U Radeon Fullset,Rp4.300.000
32,FocusMAC,Yogyakarta,Acer Swift 3 Amd Athlob,Rp4.300.000
33,alvinstore.2,Kab. Kudus,Acer Swift 1 SF114-34 Acer Swift1 N6000 RAM 4 GB SSD 512 GB Windows 1,Rp4.300.000
34,ArdLaptop_21,Kab. Tanjung Jabung Barat,Acer Swift 3 SF314-51 Core i5 7th gen Ram 8gb ssd 256gb,Rp4.300.000
35,Simanis Store Laptop,Bandung,Laptop Acer Swift 3 Amd Athlon 300U RAM 8/512GB LIKE NEW BACKLITE,Rp4.350.000
36,ikikikiki,Jakarta Barat,Laptop Design Slimm Tipiss - Acer Swift 1 Sf114-32 - Ssd Nvme 256Gb -,Rp4.428.000
